group,member_url
CLB Bóng rổ The Beast - THPT Bùi Thị Xuân ,https://facebook.com/vy.daniel.31
CLB Bóng rổ The Beast - THPT Bùi Thị Xuân ,https://facebook.com/vy.chung.5817
Đoàn TNCS HCM trường PT DTNT Tỉnh Thừa Thiên Huế ,https://facebook.com/vxluong2709
QH Confessions ,https://facebook.com/vxanhatz
VXAC - CLB Thiên Văn trường THPT Vinh Xuân ,https://facebook.com/vxac.vinhxuanastronomyclub
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/vuvan.dan.71
ALĐ Confessions ,https://facebook.com/vuthanh.ngonguyen.7
VXAC - CLB Thiên Văn trường THPT Vinh Xuân ,https://facebook.com/vuthang.pdien
Căn Tin Trường Hai Bà Trưng-Huế ,https://facebook.com/vuonghoalinh89
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/vulan.tran.7773
Q D 2 9 1 7 - Quốc Học Dance Club ,https://facebook.com/vuky.nguyenba.7
QH's AMC - CLB Văn hóa Nhật Bản ,https://facebook.com/vukiet349
CLB Kỹ Năng Sống Trường THPT Vinh Xuân - VX LSC ,https://facebook.com/vui.n.nguyen.503
THPT Hương Trà - Hẹn ước tuổi 18 ,https://facebook.com/vuhungle2011
Thuận An Confessions ,https://facebook.com/vuhoang.160208
Đoàn Trường THPT Thừa Lưu ,https://facebook.com/vu.phuong.56481379
Gia Hội Basketball - CLB Bóng Rổ THPT Gia Hội - Huế ,https://facebook.com/vu.ne.7771
Vi Vu Quốc Học ,https://facebook.com/vu.khoa.98622733
Đoàn TNCS Hồ Chí Minh trường THPT Bùi Thị Xuân - Huế ,https://facebook.com/vtqtrangxe
Thừa Lưu - Những điều chưa nói ,https://facebook.com/vtl2005
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/vsang.tna
THPT Phú Lộc Confessions ,https://facebook.com/vpu.104
HV Confessions ,https://facebook.com/vphongvippro
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/vovan.truong.7543
Đoàn trường THPT Bình Điền ,https://facebook.com/votuyet.29
Evergreen - CLB QUỐC HỌC XANH ,https://facebook.com/votrangcanhantuilamgido
ALĐ Confessions ,https://facebook.com/vothi.my.14
Đoàn trường Đặng Trần Côn ,https://facebook.com/vothanhtung.vo.58
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/VoThanhNhan.vtn
HV Confessions ,https://facebook.com/vongochannn
Đoàn trường Đặng Trần Côn ,https://facebook.com/vominhtam08
Trường THPT Cao Thắng - Huế ,https://facebook.com/vodinhngan.info
Nguyễn Trường Tộ Basketball ,https://facebook.com/vodacphaiviennamjoon
Q D 2 9 1 7 - Quốc Học Dance Club ,https://facebook.com/vocuatonyyu
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/vo.v.nguyen.7
Music CLUB Trường THPT Bùi Thị Xuân ,https://facebook.com/vo.tram.3382118
ALĐ Confessions ,https://facebook.com/vo.thanhnhi.161
Đoàn Trường THPT Chuyên Khoa học Huế ,https://facebook.com/vo.t.sanh.77
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/vo.kimthanh.104
THPT Phú Lộc Confessions ,https://facebook.com/vo.hthuonq
An Lương Đông Football Club ,https://facebook.com/vo.dai.thien.2010
Gia Hội Basketball - CLB Bóng Rổ THPT Gia Hội - Huế ,https://facebook.com/vo.bichngoc.9634
Trường THPT Tố Hữu ,https://facebook.com/vnhi221
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/vnguyen.havyy
QH's AMC - CLB Văn hóa Nhật Bản ,https://facebook.com/VnBaoCan
Gia Hội Confessions ,https://facebook.com/vksugawara
Vi Vu Quốc Học ,https://facebook.com/vivuquochoc
Boardgame QH ,https://facebook.com/vivian.richard.7967747
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/vit.1023
CLB Kỹ Năng Sống Trường THPT Vinh Xuân - VX LSC ,https://facebook.com/VinhXuanHighSchoolLivingSkillClub
Đoàn Trường THPT Nguyễn Huệ - Huế ,https://facebook.com/vinhphan2006
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/vinhhung.truong.54
Đoàn trường Đặng Trần Côn ,https://facebook.com/vinh.tra.96387
Đoàn Trường THPT Chuyên Khoa học Huế ,https://facebook.com/vietsuthi.nguyen
