"friend_owner_name","friend_owner_url","from","url"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100072631728182"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/quang.phuoc.43483"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/saa.myy.0610"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nhuquy.pham.39"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nhatthanh2201"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100077293197395"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100054668072702"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100024927901224"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100065582709784"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/Cabocan0"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100039423244469"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/trihuy.bui.3"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/quocdat.phan.391"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/pham.gai.14661"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/Thuanngo.Official"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100075929443579"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100034423741379"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100016630394201"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100065006402591"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/naxinng"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100025147232926"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100077028944387"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nttl.2410"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/ysehhoang"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/dangnguyenthanhtrung"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/ngth123"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/phuong.bao.9066389"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100010364228979"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/rot.nguuen.9"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nhanvth1810"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/LehuuBaloc"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/kiu3234"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100027388485964"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100025321327379"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100009823248505"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100074641474203"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nhphuongw"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100011337368729"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nhimm1540"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/mngc.1114"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/njr.10.jl"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100074734126510"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=61550057562415"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/gan.tommy.35"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100012725322807"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/huynh.quang.71465572"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100035948654791"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100049925778028"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100011954204399"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/vychi11"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100024274177997"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100026876510644"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100092188128939"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100093522499000"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100028825909770"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100080923925313"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100010264456356"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100006888761204"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100029745210042"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100050467574959"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100026634280081"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/Imgoodmann"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100026081202800"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/Nukateo"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/khanhnhingo2k5"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100076387671195"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100092713713633"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/bangbang.ngo.5815"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/hieu.vongoc.355744"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nguyen.lyy.568"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100009745753999"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nhattung2807"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100029996081757"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/Ngochoang010104"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/poniezz"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100045348425375"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100014269728596"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100035399052624"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100041228252901"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/uyen.han.75248"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/nguoi.nham.940"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/baoquang.nguyen.33"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/phuc.viet.7798"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/thenhan.pham.56884"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/tunhi.phannguyen.1"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100009373375766"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/IST1108"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/buihoaivu123"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/Nguuuuuuuu"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100027662083001"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/qkhanh225"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/profile.php?id=100043888992338"
"Lan Phương  (Xíu)","https://facebook.com/xiu.1706","Nguyễn Trường Tộ Basketball ","https://www.facebook.com/dohuuhung2710"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100051311299147"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100035609743607"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/cong.ct.587"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/phutrong.phamnguyen"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100036986850347"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/thanh.huu.1044186"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/congfuisme"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/quiin.anggh"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100016883974018"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100043680350175"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100011473440480"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/vonguu.mai.7"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/Thuha67005"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100050666761681"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100026826787013"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/tay.ga.771282"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100019049025846"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/QuyAnnhh.1401"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/nyanpasu162"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/vantam.truong.9"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/cuocsong.muonmau.9822"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100034997794629"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/chau.lengocquy"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100029927295338"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100036401107069"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100063692733538"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/nhuy.bui.90857901"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100077390603803"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100049066202637"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100050871589599"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100024686491650"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/orangeeno"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/minhchien.le.39589"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/le.tramy.564813"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=100067789515155"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/khanhlinh.lenguyen.14"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/Duiitaii"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/kieu.tram.12082005"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/profile.php?id=61555614744233"
"Viết Đại","https://facebook.com/vietdai0504","Nguyễn Đình Chiểu-Huế Confessions ","https://www.facebook.com/tuongvy.nguyen.5851"
